A 313 200 000 UI POUR CENT, pommade
KEPIVANCE 6,25 mg, poudre pour solution injectable
KEPPRA 100 mg/ml, solution buvable
KEPPRA 100 mg/ml, solution à diluer pour perfusion
KEPPRA 1000 mg, comprimé pelliculé
KEPPRA 250 mg, comprimé pelliculé
KEPPRA 500 mg, comprimé pelliculé
KERAFILM, solution pour application locale
KERLONE 20 mg, comprimé pelliculé sécable
KESTIN 10 mg, comprimé pelliculé
KESTINLYO 10 mg, lyophilisat oral
KETAMINE PANPHARMA 250 mg/5 ml, solution injectable (I.V.-I.M.)
KETAMINE PANPHARMA 50 mg/5 ml, solution injectable (I.V.-I.M.)
KETAMINE RENAUDIN 10 mg/ml, solution injectable
KETAMINE RENAUDIN 50 mg/ml, solution injectable
KETEK 400 mg, comprimé pelliculé
KETESSE 12,5 mg, comprimé pelliculé
KETESSE 25 mg, comprimé pelliculé
KETESSE 25 mg, granulés pour solution buvable en sachet
KETESSE 50 mg/2 ml, solution injectable ou solution à diluer pour perfusion
KETOCONAZOLE ARROW 2 %, gel en récipient-unidose
KETOCONAZOLE ARROW 2 %, gel en sachet-dose
KETOCONAZOLE BIOGARAN 2 %, gel en récipient unidose
KETOCONAZOLE BIOGARAN 2 %, gel en sachet-dose
KETOCONAZOLE CRISTERS 2 %, gel en récipient-unidose
KETOCONAZOLE CRISTERS 2 %, gel en sachet-dose
KETOCONAZOLE EG 2 %, gel en récipient-unidose
KETOCONAZOLE EG 2 %, gel en sachet-dose
KETOCONAZOLE HRA 200 mg, comprimé
KETOCONAZOLE MYLAN 2 %, gel en récipient unidose
KETOCONAZOLE MYLAN 2 %, gel en sachet dose
KETOCONAZOLE RATIOPHARM 2 %, gel en récipient-unidose
KETOCONAZOLE RATIOPHARM 2 %, gel en sachet-dose
KETOCONAZOLE SANDOZ 2 %, gel en récipient-unidose
KETOCONAZOLE SANDOZ 2 %, gel en sachet-dose
KETOCONAZOLE TEVA 2 %, gel en récipient-unidose
KETOCONAZOLE TEVA 2 %, gel en sachet-dose
KETOCONAZOLE ZENTIVA 2 %, gel en récipient-unidose
KETOCONAZOLE ZENTIVA 2 %, gel en sachet-dose
KETOCONAZOLE ZYDUS 2 %, gel en sachet-dose
KETODERM 2 %, crème
KETODERM 2 %, gel en récipient unidose
KETODERM 2 %, gel en sachet
KETOPROFENE ARROW 150 mg, comprimé sécable
KETOPROFENE ARROW 2,5 %, gel
KETOPROFENE ARROW L.P. 200 mg, gélule à libération prolongée
KETOPROFENE ARROW LP 100 mg, comprimé sécable à libération prolongée
KETOPROFENE BGR 2,5 %, gel
KETOPROFENE BIOGARAN 150 mg, comprimé sécable
KETOPROFENE BIOGARAN 2,5 %, gel
KETOPROFENE BIOGARAN LP 100 mg, comprimé sécable à libération prolongée
KETOPROFENE EG 150 mg, comprimé sécable
KETOPROFENE EG 2,5 %, gel
KETOPROFENE EG LP 100 mg, comprimé sécable à libération prolongée
KETOPROFENE MACOPHARMA 100 mg, solution pour perfusion
KETOPROFENE MACOSOL 100 mg, solution pour perfusion
KETOPROFENE MEDAC 100 mg/4 ml, solution à diluer pour perfusion
KETOPROFENE MYLAN LP 100 mg, comprimé sécable à libération prolongée
KETOPROFENE MYLAN LP 200 mg, gélule à libération prolongée
KETOPROFENE MYLAN PHARMA 2,5 POUR CENT, gel
KETOPROFENE PHARMY II 100 mg/2 ml, solution injectable (I.M.)
KETOPROFENE RANBAXY 100 mg, comprimé pelliculé
KETOPROFENE RANBAXY 50 mg, gélule
KETOPROFENE RANBAXY LP 100 mg, comprimé sécable à libération prolongée
KETOPROFENE RANBAXY LP 200 mg, comprimé enrobé à libération prolongée
KETOPROFENE RATIO 2,5 %, gel
KETOPROFENE RATIOPHARM 2,5 %, gel
KETOPROFENE SANDOZ 2,5 %, gel
KETOPROFENE SANDOZ LP 100 mg, comprimé sécable à libération prolongée
KETOPROFENE SANDOZ LP 200 mg, gélule à libération prolongée
KETOPROFENE TEVA 150 mg, comprimé sécable
KETOPROFENE TEVA 2,5 %, gel
KETOPROFENE TEVA LP 100 mg, comprimé sécable à libération prolongée
KETOPROFENE TEVA LP 200 mg, gélule à libération prolongée
KETOPROFENE TEVA SANTE 2,5 %, gel
KETOPROFENE ZENTIVA LP 100 mg, comprimé sécable à libération prolongée
KETOSTERIL, comprimé enrobé
KETOTIFENE THEA 0,25 mg/ml, collyre en solution
KETREL 0,050 POUR CENT, crème
KETUM 100 mg, comprimé pelliculé
KETUM 2,5 POUR CENT, gel
KETUM L P 200 mg, gélule à libération prolongée
KEYTRUDA 50 mg, poudre pour solution à diluer pour perfusion
KIDROLASE 10 000 U.I., poudre et solvant pour solution injectable
KINERET 100 mg, solution injectable en seringue préremplie
KINERET 100 mg/0,67 ml, solution injectable en seringue préremplie
KINOX 225 ppm mole/mole, gaz médicinal comprimé
KINOX 450 ppm mole/mole, gaz médicinal comprimé
KINUREA-H, solution injectable
KIOVIG 100 mg/ml, solution pour perfusion
KIRAVEM 1 g, poudre pour solution injectable ou pour perfusion
KIRAVEM 500 mg, poudre pour solution injectable ou pour perfusion
KIVEXA 600 mg/300 mg, comprimé pelliculé
KLEAN PREP, poudre pour solution buvable en sachet
KLIOGEST, comprimé pelliculé
KLIPAL CODEINE 300 mg/25 mg, comprimé
KLIPAL CODEINE 600 mg/50 mg, comprimé
KOGENATE BAYER 1000 UI, poudre et solvant pour solution injectable
KOGENATE BAYER 2000 UI, poudre et solvant pour solution injectable
KOGENATE BAYER 250 UI, poudre et solvant pour solution injectable
KOGENATE BAYER 3000 UI, poudre et solvant pour solution injectable
KOGENATE BAYER 500 UI, poudre et solvant pour solution injectable
KOLBAM 250 mg, gélule
KOLBAM 50 mg, gélule
KOMBOGLYZE 2,5 mg/1000 mg, comprimé pelliculé
KOREC 20 mg, comprimé enrobé sécable
KOREC 5 mg, comprimé pelliculé sécable
KORETIC 20 mg/12,5 mg, comprimé pelliculé sécable
KOVALTRY 1000 UI, poudre et solvant pour solution injectable
KOVALTRY 2000 UI, poudre et solvant pour solution injectable
KOVALTRY 3000 UI, poudre et solvant pour solution injectable
KOVALTRY 500 UI, poudre et solvant pour solution injectable
KREDEX 12,5 mg, comprimé sécable
KREDEX 25 mg, comprimé sécable
KREDEX 6,25 mg, comprimé sécable
KRENOSIN 6 mg/2 ml, solution injectable
KRYPTOSCAN, générateur de rubidium [81 Rb]/ krypton [81m Kr] pour l'élution par l'air
KUVAN 100 mg, comprimé pour solution buvable
KYPROLIS 60 mg, poudre pour solution pour perfusion
KYTRIL 1 mg, comprimé pelliculé
KYTRIL 2 mg, comprimé pelliculé
KYTRIL 3 mg/3 ml, solution injectable
L THYROXINE SERB 150 microgrammes/ml, solution buvable en gouttes
L THYROXINE SERB, solution injectable
L107, solution buvable en gouttes
LACRIFLUID 0,13 %, collyre en solution
LACRIFLUID 0,13 POUR CENT, collyre en solution en récipient unidose
LACRIGEL, gel ophtalmique
LACRINORM 0,2 POUR CENT, gel ophtalmique
LACRISERT, insert ophtalmique
LACRYVISC, gel ophtalmique
LACRYVISC, gel ophtalmique en récipient unidose
LACTEOL 340 mg, gélule
LACTEOL 340 mg, poudre pour suspension buvable en sachet-dose
LACTINETTE 75 microgrammes, comprimé pelliculé
LACTULOSE ARROW 10 g/15 ml, solution buvable en sachet-dose
LACTULOSE BIOGARAN 10 g/15 ml, solution buvable en sachet
LACTULOSE BIOGARAN 66,5%, solution buvable
LACTULOSE BIPHAR 10 g/15 ml, solution buvable en sachet-dose
LACTULOSE EG 10 g, solution buvable en sachet-dose
LACTULOSE FRESENIUS 670 mg/ml, solution buvable en flacon
LACTULOSE MYLAN 10 g/15 ml, solution buvable en sachet
LACTULOSE MYLAN PHARMA 10 g, solution buvable en sachet-dose
LACTULOSE RATIOPHARM 10 g, solution buvable en sachet-dose
LACTULOSE RPG 66,5 %, solution buvable en flacon
LACTULOSE SANDOZ 10 g, solution buvable en sachet-dose
LACTULOSE SANDOZ 66,5 %, solution buvable en flacon
LACTULOSE TEVA 10 g/15 ml, solution buvable en sachet
LACTULOSE ZENTIVA 10 g, solution buvable en sachet-dose
LAEVOLAC 10 g/15 ml, solution buvable en sachet
LAMALINE, gélule
LAMALINE, suppositoire
LAMICTAL 100 mg, comprimé dispersible ou à croquer
LAMICTAL 2 mg, comprimé dispersible ou à croquer
LAMICTAL 200 mg, comprimé dispersible ou à croquer
LAMICTAL 25 mg, comprimé dispersible ou à croquer
LAMICTAL 5 mg, comprimé dispersible ou à croquer
LAMICTAL 50 mg, comprimé dispersible ou à croquer
LAMIDERM 0,67 POUR CENT, émulsion pour application cutanée
LAMISIL 1 %, solution pour pulvérisation cutanée
LAMISIL 1 POUR CENT, crème
LAMISIL 250 mg, comprimé sécable
LAMISILATE 1 POUR CENT, crème
LAMISILATE MONODOSE 1%, solution pour application cutanée
LAMISILDERMGEL 1 %, gel
LAMIUM ALBUM BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH
LAMIVUDINE MYLAN 150 mg, comprimé pelliculé sécable
LAMIVUDINE MYLAN 300 mg, comprimé pelliculé
LAMIVUDINE/ZIDOVUDINE CRISTERS 150 mg/300 mg, comprimé pelliculé sécable
LAMIVUDINE/ZIDOVUDINE MYLAN 150 mg/300 mg, comprimé pelliculé sécable
LAMIVUDINE/ZIDOVUDINE SANDOZ 150 mg/300 mg, comprimé pelliculé sécable
LAMIVUDINE/ZIDOVUDINE TEVA 150 mg/300 mg, comprimé pelliculé sécable
LAMOTRIGINE ARROW 100 mg, comprimé dispersible
LAMOTRIGINE ARROW 200 mg, comprimé dispersible
LAMOTRIGINE ARROW 25 mg, comprimé dispersible
LAMOTRIGINE ARROW 50 mg, comprimé dispersible
LAMOTRIGINE ARROW LAB 100 mg, comprimé dispersible ou à croquer
LAMOTRIGINE ARROW LAB 200 mg, comprimé dispersible ou à croquer
LAMOTRIGINE ARROW LAB 25 mg, comprimé dispersible ou à croquer
LAMOTRIGINE ARROW LAB 50 mg, comprimé dispersible ou à croquer
LAMOTRIGINE BIOGARAN 100 mg, comprimé dispersible
LAMOTRIGINE BIOGARAN 200 mg, comprimé dispersible
LAMOTRIGINE BIOGARAN 25 mg, comprimé dispersible
LAMOTRIGINE BIOGARAN 50 mg, comprimé dispersible
LAMOTRIGINE EG 100 mg, comprimé dispersible ou à croquer
LAMOTRIGINE EG 200 mg, comprimé dispersible ou à croquer
LAMOTRIGINE EG 25 mg, comprimé dispersible ou à croquer
LAMOTRIGINE MYLAN 100 mg, comprimé dispersible
LAMOTRIGINE MYLAN 200 mg, comprimé dispersible
LAMOTRIGINE MYLAN 25 mg, comprimé dispersible
LAMOTRIGINE MYLAN 50 mg, comprimé dispersible
LAMOTRIGINE RANBAXY 100 mg, comprimé dispersible
LAMOTRIGINE RANBAXY 200 mg, comprimé dispersible
LAMOTRIGINE RANBAXY 25 mg, comprimé dispersible
LAMOTRIGINE RANBAXY 50 mg, comprimé dispersible
LAMOTRIGINE RATIOPHARM 100 mg, comprimé dispersible
LAMOTRIGINE RATIOPHARM 200 mg, comprimé dispersible
LAMOTRIGINE RATIOPHARM 25 mg, comprimé dispersible
LAMOTRIGINE RATIOPHARM 50 mg, comprimé dispersible
LAMOTRIGINE SANDOZ 100 mg, comprimé dispersible
LAMOTRIGINE SANDOZ 200 mg, comprimé dispersible
LAMOTRIGINE SANDOZ 25 mg, comprimé dispersible
LAMOTRIGINE SANDOZ 50 mg, comprimé dispersible
LAMOTRIGINE TEVA 100 mg, comprimé dispersible ou à croquer
LAMOTRIGINE TEVA 200 mg, comprimé dispersible ou à croquer
LAMOTRIGINE TEVA 25 mg, comprimé dispersible ou à croquer
LAMOTRIGINE TEVA 5 mg, comprimé dispersible ou à croquer
LAMOTRIGINE TEVA 50 mg, comprimé dispersible ou à croquer
LAMPRENE 100 mg, capsule molle
LAMPRENE 50 mg, capsule molle
LANGORAN L.P. 20 mg, gélule à libération prolongée
LANGORAN L.P. 40 mg, gélule à libération prolongée
LANGORAN L.P. 80 mg, gélule à libération prolongée
LANSOPRAZOLE ALMUS 15 mg, gélule gastro-résistante
LANSOPRAZOLE ALMUS 30 mg, gélule gastro-résistante
LANSOPRAZOLE ARROW 15 mg, comprimé orodispersible
LANSOPRAZOLE ARROW 15 mg, gélule gastro-résistante
LANSOPRAZOLE ARROW 30 mg, comprimé orodispersible
LANSOPRAZOLE ARROW 30 mg, gélule gastro-résistante
LANSOPRAZOLE BGR 15 mg, gélule gastro-résistante
LANSOPRAZOLE BGR 30 mg, gélule gastro-résistante
LANSOPRAZOLE BIOGARAN 15 mg, comprimé orodispersible
LANSOPRAZOLE BIOGARAN 15 mg, gélule gastro-résistante
LANSOPRAZOLE BIOGARAN 30 mg, comprimé orodispersible
LANSOPRAZOLE BIOGARAN 30 mg, gélule gastro-résistante
LANSOPRAZOLE BIPHAR 30 mg, gélule gastro-résistante
LANSOPRAZOLE CRISTERS 15 mg, gélule gastro-résistante
LANSOPRAZOLE CRISTERS 30 mg, gélule gastro-résistante
LANSOPRAZOLE EG 15 mg, comprimé orodispersible
LANSOPRAZOLE EG 15 mg, gélule gastro-résistante
LANSOPRAZOLE EG 30 mg, comprimé orodispersible
LANSOPRAZOLE EG 30 mg, gélule gastro-résistante
LANSOPRAZOLE EVOLUGEN 15 mg, gélule gastro-résistante
LANSOPRAZOLE EVOLUGEN 30 mg, gélule gastro-résistante
LANSOPRAZOLE ISOMED 15 mg, gélule gastro-résistante
LANSOPRAZOLE ISOMED 30 mg, gélule gastro-résistante
LANSOPRAZOLE KRKA 15 mg, gélule gastrorésistante
LANSOPRAZOLE KRKA 30 mg, gélule gastrorésistante
LANSOPRAZOLE LICONSA 15 mg, gélule gastro-résistante
LANSOPRAZOLE MYLAN 15 mg, comprimé orodispersible
LANSOPRAZOLE MYLAN 15 mg, gélule gastro-résistante
LANSOPRAZOLE MYLAN 30 mg, comprimé orodispersible
LANSOPRAZOLE MYLAN 30 mg, gélule gastro-résistante
LANSOPRAZOLE MYLAN PHARMA 15 mg, gélule gastro-résistante
LANSOPRAZOLE MYLAN PHARMA 30 mg, gélule gastro-résistante
LANSOPRAZOLE PHR LAB 15 mg, gélule gastro-résistante
LANSOPRAZOLE PHR LAB 30 mg, gélule gastro-résistante
LANSOPRAZOLE QUALIMED 15 mg, gélule-gastro résistante
LANSOPRAZOLE QUALIMED 30 mg, gélule-gastro résistante
LANSOPRAZOLE RANBAXY 15 mg, gélule gastro-résistante
LANSOPRAZOLE RANBAXY 30 mg, gélule gastro-résistante
LANSOPRAZOLE RATIOPHARM 15 mg, gélule gastro-résistante
LANSOPRAZOLE RATIOPHARM 30 mg, gélule gastro-résistante
LANSOPRAZOLE SANDOZ 15 mg, comprimé orodispersible
LANSOPRAZOLE SANDOZ 15 mg, gélule gastro-résistante
LANSOPRAZOLE SANDOZ 30 mg, comprimé orodispersible
LANSOPRAZOLE SANDOZ 30 mg, gélule gastro-résistante
LANSOPRAZOLE TEVA SANTE 15 mg, gélule gastro-résistante
LANSOPRAZOLE TEVA SANTE 30 mg, gélule gastro-résistante
LANSOPRAZOLE ZENTIVA 15 mg, comprimé orodispersible
LANSOPRAZOLE ZENTIVA 15 mg, gélule gastro-résistante
LANSOPRAZOLE ZENTIVA 30 mg, comprimé orodispersible
LANSOPRAZOLE ZENTIVA 30 mg, gélule gastro-résistante
LANSOPRAZOLE ZYDUS 15 mg, gélule gastro-résistante
LANSOPRAZOLE ZYDUS 30 mg, gélule gastro-résistante
LANSOPRAZOLE ZYDUS FRANCE 15 mg, gélule gastro-résistante
LANSOPRAZOLE ZYDUS FRANCE 30 mg, gélule gastro-résistante
LANSOYL FRAMBOISE, gel oral en pot
LANSOYL FRAMBOISE, gel oral en récipient unidose
LANSOYL SANS SUCRE 78,23 g POUR CENT, gel oral en pot édulcoré à la saccharine sodique
LANTUS 100 Unités/ml, solution injectable en flacon
LANTUS 100 unités/ ml, solution injectable en cartouche
LANTUS OPTISET 100 Unités/ml, solution injectable en stylo prérempli
LANTUS SOLOSTAR 100 unités/ ml, solution injectable en stylo prérempli
LANVIS 40 mg, comprimé sécable
LANZOR 15 mg, gélule gastro-résistante
LANZOR 30 mg, gélule gastro-résistante
LAPPA MAJOR BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
LAPPA MAJOR LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
LARGACTIL 100 mg, comprimé pelliculé sécable
LARGACTIL 25 mg, comprimé pelliculé sécable
LARGACTIL 25 mg/5 ml, solution injectable en ampoule
LARGACTIL 4 POUR CENT, solution buvable en gouttes
LARIAM 250 mg, comprimé sécable
LARIAM 250 mg, comprimé sécable
LARMABAK 0,9 POUR CENT, collyre
LARMES ARTIFICIELLES MARTINET 1,4 POUR CENT, collyre
LARMES ARTIFICIELLES MARTINET 5,6 mg/0,4 ml, collyre en solution en récipient unidose
LAROSCORBINE 1 g, comprimé effervescent
LAROSCORBINE 1 g/5 ml, solution injectable I.V. en ampoule
LAROSCORBINE 500 mg SANS SUCRE, comprimé à croquer édulcoré à l'aspartam
LAROSCORBINE SANS SUCRE 1 g, comprimé effervescent
LAROXYL 25 mg, comprimé pelliculé
LAROXYL 40 mg/ml, solution buvable
LAROXYL 50 mg, comprimé pelliculé
LAROXYL 50 mg/2 ml, solution injectable
LASILIX 10 mg/ml, solution buvable
LASILIX 20 mg/2 ml, solution injectable en ampoule
LASILIX 40 mg, comprimé sécable
LASILIX FAIBLE 20 mg, comprimé
LASILIX RETARD 60 mg, gélule
LASILIX SPECIAL 250 mg/25 ml, solution injectable en ampoule
LASILIX SPECIAL 500 mg, comprimé sécable
LATANOPROST ACTAVIS 0,005 %, collyre en solution
LATANOPROST ARROW 0,005 %, collyre en solution
LATANOPROST BIOGARAN 0,005 %, collyre en solution
LATANOPROST CHAUVIN 50 microgrammes/ml, collyre en solution
LATANOPROST EG 0,005 %, collyre en solution
LATANOPROST MYLAN PHARMA 0,005 %, collyre en solution
LATANOPROST PFIZER 50 microgrammes/ml, collyre en solution
LATANOPROST RANBAXY 50 microgrammes/ml, collyre en solution
LATANOPROST SANDOZ 50 microgrammes/ml, collyre en solution
LATANOPROST TEVA 0,005 %, collyre en solution
LATANOPROST ZYDUS 50 microgrammes/ml, collyre en solution
LATANOPROST/TIMOLOL ARROW 50 microgrammes/5 mg par ml, collyre en solution
LATANOPROST/TIMOLOL BIOGARAN 50 microgrammes/5 mg par ml, collyre en solution
LATANOPROST/TIMOLOL EG 50 microgrammes/5 mg par ml, collyre en solution
LATANOPROST/TIMOLOL MYLAN PHARMA 50 microgrammes/5 mg par ml, collyre en solution
LATANOPROST/TIMOLOL PFIZER 50 microgrammes/5 mg par ml, collyre en solution
LATANOPROST/TIMOLOL SANDOZ 50 microgrammes/5 mg par ml, collyre en solution
LATANOPROST/TIMOLOL TEVA 50 microgrammes/5 mg par ml, collyre en solution
LATANOPROST/TIMOLOL ZENTIVA 50 microgrammes/5 mg par ml, collyre en solution
LATANOPROST/TIMOLOL ZYDUS 50 microgrammes/5 mg par ml, collyre en solution
LAUROCERASUS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
LAUROCERASUS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
LAUROCERASUS WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
LAVANDULA VERA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
LAXARON 10 g/15 ml, solution buvable en sachet
LECTIL 16 mg, comprimé sécable
LECTIL 24 mg, comprimé
LECTIL 8 mg, comprimé
LEDERFOLINE 15 mg, comprimé sécable
LEDERFOLINE 25 mg, comprimé
LEDERFOLINE 5 mg, comprimé
LEDERTREXATE 50 mg/2 mL, solution injectable
LEDUM PALUSTRE BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
LEDUM PALUSTRE LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
LEDUM PALUSTRE WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
LEELOO 0,1 mg/0,02 mg, comprimé enrobé
LEFLUNOMIDE MYLAN 10 mg, comprimé pelliculé
LEFLUNOMIDE MYLAN 20 mg, comprimé pelliculé
LEFLUNOMIDE WINTHROP 10 mg, comprimé pelliculé
LEFLUNOMIDE WINTHROP 20 mg, comprimé pelliculé
LEGALON 70 mg, comprimé enrobé
LEMTRADA 12 mg, solution à diluer pour perfusion
LENOXE 100 % (V/V), gaz médicinal liquéfié pour inhalation
LENVIMA 10 mg, gélule
LENVIMA 4 mg, gélule
LEPONEX 100 mg, comprimé sécable
LEPONEX 25 mg, comprimé sécable
LEPTICUR 10 mg, comprimé
LEPTICUR 10 mg/2 ml, solution injectable
LEPTICUR PARK 5 mg, comprimé sécable
LERCAN 10 mg, comprimé pelliculé sécable
LERCAN 20 mg, comprimé pelliculé
LERCANIDIPINE ARROW 10 mg, comprimé pelliculé sécable
LERCANIDIPINE ARROW 20 mg, comprimé pelliculé sécable
LERCANIDIPINE ARROW GENERIQUES 10 mg, comprimé pelliculé sécable
LERCANIDIPINE ARROW GENERIQUES 20 mg, comprimé pelliculé sécable
LERCANIDIPINE BIOGARAN 10 mg, comprimé pelliculé sécable
LERCANIDIPINE BIOGARAN 20 mg, comprimé pelliculé
LERCANIDIPINE BOUCHARA RECORDATI 10 mg, comprimé pelliculé sécable
LERCANIDIPINE BOUCHARA RECORDATI 20 mg, comprimé pelliculé
LERCANIDIPINE CRISTERS 10 mg, comprimé pelliculé sécable
LERCANIDIPINE CRISTERS 20 mg, comprimé pelliculé sécable
LERCANIDIPINE EG 10 mg, comprimé pelliculé sécable
LERCANIDIPINE EG 20 mg, comprimé pelliculé sécable
LERCANIDIPINE EVOLUGEN 10 mg, comprimé pelliculé sécable
LERCANIDIPINE EVOLUGEN 20 mg, comprimé pelliculé sécable
LERCANIDIPINE MYLAN 10 mg, comprimé pelliculé sécable
LERCANIDIPINE MYLAN 20 mg, comprimé pelliculé sécable
LERCANIDIPINE PHR LAB 10 mg, comprimé pelliculé sécable
LERCANIDIPINE PHR LAB 20 mg, comprimé pelliculé sécable
LERCANIDIPINE QUALIMED 10 mg, comprimé pelliculé sécable
LERCANIDIPINE RANBAXY 10 mg, comprimé pelliculé sécable
LERCANIDIPINE RANBAXY 20 mg, comprimé pelliculé sécable
LERCANIDIPINE RATIOPHARM 10 mg, comprimé pelliculé sécable
LERCANIDIPINE RATIOPHARM 20 mg, comprimé pelliculé sécable
LERCANIDIPINE SANDOZ 10 mg, comprimé pelliculé sécable
LERCANIDIPINE SANDOZ 20 mg, comprimé pelliculé sécable
LERCANIDIPINE TEVA SANTE 10 mg, comprimé pelliculé sécable
LERCANIDIPINE TEVA SANTE 20 mg, comprimé pelliculé
LERCANIDIPINE ZENTIVA 10 mg, comprimé pelliculé sécable
LERCANIDIPINE ZENTIVA 20 mg, comprimé pelliculé
LERCANIDIPINE ZYDUS 10 mg, comprimé pelliculé sécable
LERCANIDIPINE ZYDUS 20 mg, comprimé pelliculé sécable
LERCAPRESS 20 mg/10 mg, comprimé pelliculé
LERCAPRESS 20 mg/20 mg, comprimé pelliculé
LERGYPAX, comprimé orodispersible
LESCOL 20 mg, gélule
LESCOL 40 mg, gélule
LESCOL L.P. 80 mg, comprimé pelliculé à libération prolongée
LETROZOLE ACCORD HEALTHCARE 2,5 mg, comprimé pelliculé
LETROZOLE ARROW 2,5 mg, comprimé pelliculé
LETROZOLE BIOGARAN 2,5 mg, comprimé peliculé
LETROZOLE BLUEFISH 2,5 mg, comprimé pelliculé
LETROZOLE CRISTERS 2,5 mg, comprimé pelliculé
LETROZOLE EG 2,5 mg, comprimé pelliculé
LETROZOLE EVOLUGEN 2,5 mg, comprimé pelliculé
LETROZOLE ISOMED 2,5 mg, comprimé pelliculé
LETROZOLE MYLAN 2,5 mg, comprimé pelliculé
LETROZOLE PHR LAB 2,5 mg, comprimé pelliculé
LETROZOLE RANBAXY 2,5 mg, comprimé pelliculé
LETROZOLE RATIOPHARM 2,5 mg, comprimé pelliculé
LETROZOLE SANDOZ 2.5 mg, comprimé pelliculé
LETROZOLE SUN 2,5 mg, comprimé pelliculé
LETROZOLE TEVA 2,5 mg, comprimé pelliculé
LETROZOLE ZENTIVA 2,5 mg, comprimé pelliculé
LETROZOLE ZYDUS 2,5 mg, comprimé pelliculé
LEUCODININE B 10 POUR CENT, pommade
LEUKOSCAN 0,31 mg, poudre pour solution injectable
LEUSTATINE 1 mg/ml, solution pour perfusion
LEVACT 2,5 mg/ml, poudre pour solution à diluer pour perfusion
LEVEMIR FLEXPEN 100 Unités/ml, solution injectable en stylo prérempli
LEVEMIR INNOLET 100 Unités/ml, solution injectable en stylo prérempli
LEVEMIR PENFILL 100 Unités/ml, solution injectable en cartouche
LEVETIRACETAM ACCORD 1000 mg, comprimé pelliculé
LEVETIRACETAM ACCORD 250 mg, comprimé pelliculé
LEVETIRACETAM ACCORD 500 mg, comprimé pelliculé
LEVETIRACETAM ACTAVIS 1000 mg, comprimé pélliculé
LEVETIRACETAM ACTAVIS 250 mg, comprimé pélliculé
LEVETIRACETAM ACTAVIS 500 mg, comprimé pélliculé
LEVETIRACETAM ACTAVIS GROUP 100 mg/ml, solution buvable
LEVETIRACETAM AGUETTANT 100 mg/ml, solution à diluer pour perfusion
LEVETIRACETAM ALTER 500 mg, comprimé pelliculé
LEVETIRACETAM ARROW 100 mg/ml, solution à diluer pour perfusion
LEVETIRACETAM ARROW 1000 mg, comprimé pelliculé
LEVETIRACETAM ARROW 250 mg, comprimé pelliculé
LEVETIRACETAM ARROW 500 mg, comprimé pelliculé
LEVETIRACETAM ARROW LAB 1000 mg, comprimé pelliculé sécable
LEVETIRACETAM ARROW LAB 250 mg, comprimé pelliculé sécable
LEVETIRACETAM ARROW LAB 500 mg, comprimé pelliculé sécable
LEVETIRACETAM BIOGARAN 1000 mg, comprimé pelliculé sécable
LEVETIRACETAM BIOGARAN 250 mg, comprimé pelliculé sécable
LEVETIRACETAM BIOGARAN 500 mg, comprimé pelliculé sécable
LEVETIRACETAM CRISTERS 1000 mg, comprimé pelliculé sécable
LEVETIRACETAM CRISTERS 250 mg, comprimé pelliculé sécable
LEVETIRACETAM CRISTERS 500 mg, comprimé pelliculé sécable
LEVETIRACETAM EG 1000 mg, comprimé pelliculé
LEVETIRACETAM EG 250 mg, comprimé pelliculé
LEVETIRACETAM EG 500 mg, comprimé pelliculé
LEVETIRACETAM EVOLUGEN 500 mg, comprimé pelliculé sécable
LEVETIRACETAM HOSPIRA 100 mg/ml, solution à diluer pour perfusion
LEVETIRACETAM KRKA 1000 mg, comprimé pelliculé sécable
LEVETIRACETAM KRKA 250 mg, comprimé pelliculé
LEVETIRACETAM KRKA 500 mg, comprimé pelliculé sécable
LEVETIRACETAM MYLAN 100 mg/ml, solution à diluer pour perfusion
LEVETIRACETAM MYLAN 1000 mg, comprimé pelliculé
LEVETIRACETAM MYLAN 250 mg, comprimé pelliculé
LEVETIRACETAM MYLAN 500 mg, comprimé pelliculé
LEVETIRACETAM MYLAN PHARMA 100 mg/ml, solution buvable
LEVETIRACETAM MYLAN PHARMA 1000 mg, comprimé pelliculé
LEVETIRACETAM MYLAN PHARMA 250 mg, comprimé pelliculé
LEVETIRACETAM MYLAN PHARMA 500 mg, comprimé pelliculé
LEVETIRACETAM RANBAXY 1000 mg, comprimé pelliculé sécable
LEVETIRACETAM RANBAXY 250 mg, comprimé pelliculé sécable
LEVETIRACETAM RANBAXY 500 mg, comprimé pelliculé sécable
LEVETIRACETAM SANDOZ 100 mg/ml, solution buvable
LEVETIRACETAM SANDOZ 100 mg/ml, solution à diluer pour perfusion
